이름,전화번호,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
강은서,010-8038-3976,35,admin.,married,secondary,no,907,no,yes,unknown,2,jul,97,4,-1,0,unknown,no
윤채원,010-0735-5051,56,management,married,tertiary,no,25290,no,no,cellular,31,jul,81,12,-1,0,unknown,no
김윤서,010-3021-9854,53,admin.,married,secondary,no,10541,no,no,cellular,9,nov,178,1,-1,0,unknown,yes
장예은,010-9286-9398,37,services,married,secondary,no,4151,yes,yes,cellular,30,jul,543,4,-1,0,unknown,yes
홍민서,010-1458-0812,27,technician,single,tertiary,no,-67,yes,no,cellular,6,apr,604,3,236,2,failure,yes
강주원,010-3800-4725,30,blue-collar,single,secondary,no,103,yes,no,cellular,17,apr,2053,2,317,1,other,no
서지원,010-4399-5111,37,entrepreneur,married,primary,no,8,yes,yes,cellular,16,jul,46,1,-1,0,unknown,no
한서준,010-3830-9909,35,services,married,unknown,no,618,no,no,cellular,30,apr,951,1,-1,0,unknown,yes
이주원,010-9436-6537,53,admin.,married,secondary,no,3765,no,no,unknown,20,jun,1094,3,-1,0,unknown,yes
최서준,010-1685-7568,59,housemaid,married,primary,no,235,no,no,cellular,13,aug,119,2,-1,0,unknown,no
이은서,010-0671-0144,28,self-employed,single,tertiary,no,159,no,no,cellular,14,oct,246,2,420,2,other,yes
조하은,010-6145-2256,82,retired,married,primary,no,243,no,no,cellular,26,jul,275,1,180,2,success,yes
안예서,010-1712-9573,45,management,married,tertiary,no,160,no,no,cellular,10,nov,182,2,194,1,success,yes
임수아,010-3518-5954,77,retired,married,tertiary,no,0,no,no,cellular,17,aug,286,1,-1,0,unknown,yes
송지아,010-6546-1343,39,services,married,secondary,no,208,no,yes,cellular,9,feb,122,2,-1,0,unknown,no
송민준,010-0670-8273,34,services,married,primary,no,31,no,yes,cellular,9,jul,53,3,-1,0,unknown,no
안지호,010-2287-8548,27,technician,single,secondary,no,489,yes,no,cellular,30,jul,356,4,-1,0,unknown,yes
최예서,010-7524-7483,37,services,single,secondary,no,934,yes,no,unknown,16,may,242,3,-1,0,unknown,no
윤예준,010-6360-0272,38,management,married,secondary,no,3840,yes,yes,cellular,17,nov,62,1,-1,0,unknown,no
윤지후,010-9064-7934,41,unemployed,married,secondary,no,0,yes,yes,cellular,5,may,400,1,-1,0,unknown,yes
강윤서,010-4847-2998,31,unemployed,single,primary,no,163,no,no,cellular,30,jan,707,2,2,1,other,yes
정예서,010-3562-1587,50,management,married,tertiary,no,0,no,no,cellular,10,aug,232,3,130,3,other,no
정소율,010-5559-3215,35,admin.,single,secondary,no,0,yes,no,cellular,8,may,376,3,-1,0,unknown,no
박지유,010-9103-0364,48,management,married,tertiary,no,5320,yes,no,unknown,20,jun,792,1,-1,0,unknown,yes
박예은,010-7431-3541,73,retired,married,unknown,no,739,no,no,cellular,11,sep,210,1,-1,0,unknown,yes
강지원,010-8685-9780,39,management,single,unknown,no,2887,yes,no,unknown,7,may,42,2,-1,0,unknown,no
홍서연,010-3408-3489,46,technician,married,secondary,no,536,yes,no,unknown,16,jun,750,2,-1,0,unknown,yes
임지아,010-4216-6946,45,self-employed,married,tertiary,no,-497,yes,yes,cellular,15,may,217,1,176,1,failure,no
오준서,010-0268-0296,50,admin.,married,secondary,no,3608,yes,no,cellular,14,may,196,8,182,4,success,yes
이하은,010-9845-7541,67,retired,married,tertiary,no,1341,no,no,cellular,13,feb,706,1,-1,0,unknown,yes
조시우,010-1255-1696,47,housemaid,married,primary,no,183,no,no,cellular,13,aug,144,1,-1,0,unknown,no
김예서,010-8902-8543,31,services,single,secondary,no,-475,yes,no,telephone,12,may,232,3,-1,0,unknown,no
신서연,010-3760-6127,33,unemployed,single,secondary,no,682,no,no,cellular,5,feb,251,1,-1,0,unknown,no
권준서,010-6279-0942,53,retired,married,secondary,no,4968,no,no,cellular,6,may,109,1,87,2,failure,no
서예서,010-7350-9897,53,housemaid,married,primary,no,0,no,no,unknown,24,jun,51,8,-1,0,unknown,no
최지아,010-7534-1701,44,housemaid,single,secondary,no,299,no,no,cellular,20,nov,186,1,-1,0,unknown,no
윤준서,010-5689-1948,45,self-employed,divorced,tertiary,yes,75,yes,yes,cellular,4,feb,236,1,-1,0,unknown,no
한예준,010-3283-4441,42,entrepreneur,married,primary,no,558,yes,no,cellular,6,may,186,2,-1,0,unknown,no
박지후,010-6914-9974,25,admin.,single,secondary,no,285,no,no,cellular,3,jul,658,3,-1,0,unknown,yes
신채원,010-2664-4593,31,management,single,tertiary,no,354,no,no,cellular,21,apr,242,2,-1,0,unknown,yes
박지유,010-9418-4628,35,services,married,secondary,no,819,yes,no,telephone,14,jul,102,14,-1,0,unknown,no
김시우,010-2012-3370,53,management,married,secondary,no,90,yes,no,telephone,20,apr,67,5,-1,0,unknown,no
오준서,010-8390-5049,60,technician,married,secondary,no,294,no,no,telephone,3,jun,206,4,-1,0,unknown,yes
안주원,010-3585-0903,38,management,single,tertiary,no,1515,yes,no,telephone,31,jul,42,5,-1,0,unknown,no
안윤서,010-0471-0903,55,unemployed,married,primary,no,1212,no,no,cellular,31,aug,241,1,92,1,failure,no
신도윤,010-1598-7381,36,admin.,single,tertiary,no,994,no,no,cellular,5,feb,195,1,176,5,failure,yes
박지유,010-1568-4844,37,management,married,tertiary,no,108,yes,yes,cellular,4,jun,262,2,-1,0,unknown,yes
안지후,010-0353-7181,42,technician,married,secondary,no,2,no,no,unknown,29,may,249,2,-1,0,unknown,no
서지원,010-7164-5637,72,retired,married,secondary,no,1129,no,no,cellular,25,nov,208,1,91,1,success,yes
안예준,010-0021-7587,33,housemaid,single,tertiary,no,1107,yes,no,cellular,18,mar,201,1,-1,0,unknown,yes
권윤서,010-1207-0918,30,blue-collar,single,secondary,no,80,yes,yes,cellular,5,may,145,1,337,4,failure,no
신시우,010-5579-3243,38,unemployed,single,secondary,no,804,no,no,cellular,1,jun,1087,1,-1,0,unknown,yes
신하은,010-4281-2827,57,technician,married,secondary,no,458,no,yes,cellular,15,jul,177,3,-1,0,unknown,no
안시우,010-4752-7911,43,unemployed,married,primary,no,519,no,no,unknown,20,jun,973,2,-1,0,unknown,yes
김서준,010-8100-7570,26,student,single,tertiary,no,641,yes,no,cellular,15,may,55,1,368,1,failure,no
강은서,010-3407-2704,85,retired,divorced,primary,no,7613,no,no,cellular,18,feb,355,3,-1,0,unknown,yes
오민서,010-5094-4835,47,admin.,married,unknown,no,989,no,no,unknown,19,jun,116,1,-1,0,unknown,no
황예서,010-3424-7695,68,retired,married,tertiary,no,2812,no,no,cellular,3,aug,392,4,181,3,success,yes
류도윤,010-6379-1339,39,blue-collar,married,secondary,no,167,yes,yes,cellular,12,may,612,1,-1,0,unknown,yes
서민준,010-2927-7998,32,technician,single,tertiary,no,34646,no,no,telephone,13,aug,618,9,-1,0,unknown,yes
권지유,010-5274-6854,38,blue-collar,married,secondary,no,961,yes,no,unknown,16,may,346,1,-1,0,unknown,no
송채원,010-0626-5770,30,management,married,tertiary,no,7,yes,no,cellular,28,aug,173,1,164,4,other,yes
조채원,010-6836-3640,36,student,single,unknown,no,417,no,no,cellular,10,aug,304,1,181,1,success,yes
조유진,010-3272-7041,43,technician,married,tertiary,no,4333,yes,no,cellular,20,nov,1490,3,-1,0,unknown,yes
최지호,010-8725-7141,50,management,single,tertiary,no,3537,no,no,unknown,24,oct,305,1,-1,0,unknown,yes
서서윤,010-5304-9257,59,retired,married,tertiary,no,422,yes,no,cellular,14,may,647,4,-1,0,unknown,yes
한유진,010-1107-2774,47,management,married,unknown,no,4567,no,no,telephone,31,jul,921,4,-1,0,unknown,no
박하은,010-1354-9510,34,admin.,divorced,secondary,no,479,yes,no,cellular,12,may,515,1,350,5,failure,yes
황도윤,010-8095-1359,20,student,single,tertiary,no,2764,yes,no,unknown,29,may,139,2,-1,0,unknown,no
황하윤,010-9177-5905,54,management,married,tertiary,no,1938,yes,no,telephone,31,jul,81,7,-1,0,unknown,no
조유진,010-2728-0382,64,housemaid,married,unknown,no,2645,no,no,telephone,3,feb,219,2,-1,0,unknown,yes
서지민,010-8062-5937,42,blue-collar,married,secondary,no,443,yes,no,unknown,2,jun,671,5,-1,0,unknown,yes
서예서,010-4110-6870,80,retired,married,primary,no,155,no,no,telephone,9,dec,343,2,-1,0,unknown,yes
한예은,010-2824-5818,27,management,single,secondary,no,35,no,no,cellular,4,jul,255,1,-1,0,unknown,no
한지민,010-1228-5267,61,self-employed,married,tertiary,no,10861,no,no,cellular,25,oct,225,1,91,5,success,yes
한예은,010-3114-5188,31,blue-collar,single,secondary,no,196,yes,no,cellular,5,may,568,1,341,7,failure,yes
한시우,010-8121-5579,51,technician,married,secondary,no,-1944,yes,no,cellular,7,may,623,1,-1,0,unknown,yes
황민준,010-3500-1723,30,management,single,secondary,no,186,yes,no,cellular,20,nov,235,3,-1,0,unknown,no
서윤서,010-1670-5715,43,self-employed,single,unknown,no,3173,no,no,unknown,15,may,746,1,-1,0,unknown,yes
오준서,010-8339-0908,34,management,married,secondary,no,56,yes,no,cellular,20,nov,311,3,183,1,failure,no
한예은,010-0937-0862,30,unemployed,married,secondary,no,142,yes,no,unknown,20,may,350,4,-1,0,unknown,no
오하은,010-8917-5558,54,management,married,secondary,no,1134,yes,no,cellular,25,jul,1330,3,-1,0,unknown,yes
권지호,010-3557-3527,32,management,single,tertiary,no,0,yes,no,cellular,20,apr,415,2,-1,0,unknown,no
최지호,010-2811-1727,37,blue-collar,married,primary,no,3517,yes,no,unknown,23,may,445,1,-1,0,unknown,no
강지호,010-5194-9235,43,entrepreneur,married,tertiary,no,13342,yes,no,cellular,18,nov,465,1,-1,0,unknown,no
권하준,010-9256-0579,26,admin.,single,secondary,no,96,no,no,cellular,6,may,606,1,345,1,failure,no
신지아,010-2390-3631,49,blue-collar,married,primary,no,23,yes,no,unknown,23,may,247,1,-1,0,unknown,no
김지우,010-9714-7662,40,management,married,tertiary,no,0,no,no,cellular,14,jul,109,8,-1,0,unknown,no
안시우,010-0685-0519,32,student,single,secondary,no,14,no,no,cellular,19,aug,144,3,136,1,other,no
장채원,010-1227-7404,30,self-employed,married,secondary,no,131,yes,no,unknown,8,may,306,1,-1,0,unknown,no
류민서,010-8479-0798,39,admin.,single,tertiary,no,22086,no,no,cellular,4,jun,160,1,-1,0,unknown,yes
한채원,010-8060-4270,72,retired,married,secondary,no,5715,no,no,cellular,17,nov,1127,5,184,3,success,yes
정윤서,010-5963-5626,41,blue-collar,married,primary,no,219,no,yes,unknown,18,jun,1574,3,-1,0,unknown,yes
박예은,010-0744-7331,34,admin.,married,secondary,no,79,yes,no,unknown,23,may,83,1,-1,0,unknown,no
류다은,010-1986-4326,39,management,married,tertiary,no,2939,no,no,cellular,6,oct,608,1,99,3,failure,yes
안도윤,010-0731-7652,51,blue-collar,married,primary,no,1869,no,no,unknown,17,jun,30,3,-1,0,unknown,no
윤지호,010-5664-9247,32,management,married,tertiary,no,62,yes,no,cellular,14,may,166,1,-1,0,unknown,no
강서연,010-6343-1659,40,retired,single,secondary,no,1400,no,no,unknown,20,jun,20,7,-1,0,unknown,no
황하은,010-9266-0876,31,management,married,tertiary,no,676,no,no,cellular,7,aug,1182,1,-1,0,unknown,yes
송수아,010-2236-6922,30,management,single,tertiary,no,136,yes,no,unknown,23,may,152,1,-1,0,unknown,no
이예서,010-2762-5568,32,entrepreneur,married,secondary,no,1996,yes,no,cellular,18,nov,271,1,-1,0,unknown,no
류다은,010-0051-3307,54,management,married,primary,no,366,yes,no,unknown,15,may,589,1,-1,0,unknown,no
송하준,010-3488-9606,30,admin.,married,secondary,no,1265,yes,yes,unknown,26,may,414,2,-1,0,unknown,yes
신하윤,010-9888-3733,25,student,single,secondary,no,2975,no,no,cellular,2,sep,799,2,-1,0,unknown,yes
송지우,010-4361-2047,29,admin.,single,secondary,no,2768,yes,no,unknown,2,jun,121,4,-1,0,unknown,no
안지유,010-8878-8334,41,management,married,tertiary,no,0,no,no,cellular,11,aug,1242,5,-1,0,unknown,yes
최지유,010-0271-7261,32,management,married,tertiary,no,9214,no,yes,unknown,18,oct,71,1,-1,0,unknown,no
홍은서,010-3877-8823,53,blue-collar,married,secondary,no,4380,no,no,telephone,19,aug,223,7,-1,0,unknown,no
강은서,010-7706-5538,61,retired,married,primary,no,197,no,no,cellular,17,feb,113,1,-1,0,unknown,yes
한하준,010-3697-7028,26,technician,single,secondary,no,941,no,yes,cellular,25,jul,784,1,-1,0,unknown,yes
김예은,010-3718-7261,27,services,married,secondary,no,0,yes,no,cellular,23,jul,198,13,-1,0,unknown,no
황서연,010-1310-4038,59,retired,married,unknown,no,613,no,no,cellular,19,aug,75,2,-1,0,unknown,no
조시우,010-7249-4046,43,blue-collar,single,primary,no,0,no,no,unknown,9,may,71,3,-1,0,unknown,no
안은서,010-5418-5443,76,retired,married,primary,no,163,no,no,telephone,13,oct,120,1,-1,0,unknown,no
정도윤,010-4105-2337,36,blue-collar,married,primary,no,403,yes,no,unknown,4,jun,920,1,-1,0,unknown,yes
강수아,010-2724-1575,51,unemployed,married,tertiary,no,1801,no,no,cellular,16,apr,838,3,-1,0,unknown,yes
장지유,010-0834-7961,54,management,married,tertiary,no,1624,no,no,cellular,12,may,166,3,182,10,success,yes
강지아,010-7464-0458,36,management,married,tertiary,no,93,no,no,cellular,12,jul,262,2,182,7,failure,yes
박시우,010-5544-9560,33,technician,married,secondary,no,0,no,no,cellular,25,aug,296,8,-1,0,unknown,no
홍지우,010-6757-1123,27,blue-collar,single,secondary,no,137,no,yes,cellular,25,jul,359,1,-1,0,unknown,no
송하준,010-8796-6393,64,retired,married,secondary,no,3189,no,no,telephone,15,jun,208,1,-1,0,unknown,yes
안지민,010-0378-5084,32,blue-collar,married,secondary,no,889,yes,no,cellular,10,sep,185,1,99,5,success,yes
임시우,010-8972-8200,46,services,married,secondary,no,-119,yes,no,cellular,22,jul,151,3,-1,0,unknown,no
김하은,010-7074-1950,42,management,married,primary,no,5310,yes,no,cellular,20,aug,273,1,90,3,success,yes
류민준,010-2925-9728,35,management,married,tertiary,no,2682,yes,no,cellular,9,jul,156,1,-1,0,unknown,no
황수아,010-7240-4150,43,blue-collar,married,secondary,no,953,yes,no,cellular,4,feb,765,2,-1,0,unknown,yes
장하윤,010-1235-6414,44,blue-collar,married,primary,no,140,yes,no,unknown,15,may,7,9,-1,0,unknown,no
박하준,010-4329-8696,37,admin.,married,tertiary,no,0,yes,no,cellular,17,nov,65,2,119,1,failure,no
윤다은,010-9829-5980,31,management,single,tertiary,no,713,no,no,cellular,28,aug,162,1,-1,0,unknown,no
강지유,010-7646-4366,29,admin.,single,secondary,no,1992,no,no,cellular,12,apr,119,2,-1,0,unknown,no
신지아,010-8732-2547,28,blue-collar,married,secondary,no,4287,no,no,cellular,30,apr,171,1,-1,0,unknown,no
홍도윤,010-1977-9946,50,management,single,tertiary,no,297,yes,no,unknown,5,may,119,1,-1,0,unknown,no
안민서,010-8308-7254,56,blue-collar,married,secondary,no,1210,no,no,unknown,11,jun,935,1,-1,0,unknown,yes
오도윤,010-4344-3313,60,retired,married,tertiary,no,108,no,no,cellular,26,aug,624,1,-1,0,unknown,yes
류유진,010-6291-1226,53,entrepreneur,married,primary,no,27,yes,no,telephone,10,sep,230,3,-1,0,unknown,yes
장주원,010-7046-8902,47,blue-collar,married,secondary,no,1568,yes,no,cellular,21,may,226,3,91,8,success,yes
황민준,010-9687-5696,25,management,single,tertiary,no,1317,no,no,cellular,26,may,176,1,-1,0,unknown,yes
오예준,010-0964-5132,37,management,married,tertiary,no,11265,no,no,unknown,18,jun,417,1,-1,0,unknown,no
서지우,010-4279-6810,52,management,single,tertiary,no,741,no,no,cellular,7,aug,63,2,-1,0,unknown,no
신시우,010-6531-2046,32,management,single,tertiary,no,4291,no,no,cellular,7,aug,1321,9,-1,0,unknown,yes
임민준,010-8512-4958,33,student,married,secondary,no,1536,no,no,cellular,9,nov,262,1,94,2,success,yes
정유진,010-3552-1643,36,blue-collar,married,secondary,no,1193,no,no,cellular,30,oct,640,1,-1,0,unknown,yes
박도윤,010-4562-4069,42,blue-collar,married,primary,no,2103,yes,no,cellular,13,apr,384,2,-1,0,unknown,yes
최하은,010-9045-9593,40,blue-collar,single,unknown,no,24,yes,no,unknown,5,may,185,1,-1,0,unknown,no
송서윤,010-2403-8338,39,admin.,married,secondary,no,260,yes,no,cellular,13,nov,226,1,94,4,success,yes
이주원,010-0805-9454,32,student,single,tertiary,no,1138,no,no,telephone,10,feb,402,3,-1,0,unknown,yes
정소율,010-2718-9065,27,technician,single,secondary,no,261,yes,no,cellular,29,jan,236,2,247,2,failure,no
조준서,010-0585-5755,34,blue-collar,married,secondary,no,640,yes,no,cellular,29,apr,636,2,-1,0,unknown,yes
류지후,010-1790-3939,53,blue-collar,married,secondary,no,0,yes,no,cellular,7,may,407,2,-1,0,unknown,no
한지후,010-5975-7290,36,blue-collar,married,secondary,no,249,yes,no,cellular,15,may,709,5,-1,0,unknown,yes
권은서,010-6357-9300,38,blue-collar,divorced,primary,no,-258,yes,no,cellular,14,may,134,2,370,4,other,no
홍민준,010-7085-1396,41,blue-collar,married,secondary,no,641,yes,no,unknown,13,may,161,1,-1,0,unknown,no
한하준,010-5487-0285,51,management,married,tertiary,no,3463,no,yes,cellular,13,jul,371,2,166,3,other,yes
서은서,010-2527-5856,31,management,married,tertiary,no,537,yes,no,cellular,18,aug,216,1,-1,0,unknown,yes
임지우,010-2001-1838,30,technician,married,secondary,no,418,yes,no,unknown,3,jun,112,1,-1,0,unknown,no
송서연,010-4991-7412,50,blue-collar,married,primary,no,71,yes,no,unknown,6,may,678,1,-1,0,unknown,no
임지민,010-3236-9406,71,technician,married,secondary,no,3020,no,no,telephone,30,jul,304,1,270,3,failure,yes
장민준,010-3995-5166,56,technician,married,secondary,no,0,yes,yes,cellular,29,apr,152,1,223,3,other,no
조윤서,010-8649-9304,35,admin.,divorced,secondary,no,3636,no,yes,cellular,21,nov,808,2,-1,0,unknown,yes
송민서,010-8708-1456,31,management,married,tertiary,no,1164,yes,yes,cellular,18,jul,238,3,-1,0,unknown,no
황예서,010-1752-4839,24,blue-collar,single,secondary,no,1857,yes,no,cellular,8,oct,147,1,92,5,other,yes
황예은,010-5189-5667,20,blue-collar,single,secondary,no,423,yes,no,cellular,16,apr,498,1,-1,0,unknown,yes
황민서,010-2659-3275,35,admin.,single,tertiary,no,1374,yes,no,cellular,15,may,319,1,-1,0,unknown,no
임서윤,010-3232-0483,56,retired,divorced,secondary,no,389,yes,no,unknown,18,jun,379,5,-1,0,unknown,no
류서준,010-6593-5102,33,services,married,secondary,no,881,yes,no,unknown,21,may,67,5,-1,0,unknown,no
한서연,010-1753-9255,31,entrepreneur,divorced,tertiary,no,0,yes,no,cellular,18,nov,164,1,-1,0,unknown,no
박서준,010-4393-2377,33,admin.,single,secondary,no,241,no,no,cellular,22,jul,490,1,-1,0,unknown,no
최다은,010-8303-0399,47,blue-collar,married,secondary,no,3630,yes,no,unknown,14,may,133,4,-1,0,unknown,no
서지우,010-9780-8838,49,technician,divorced,secondary,no,305,no,no,cellular,24,jul,367,2,-1,0,unknown,yes
강지호,010-1912-7316,36,self-employed,single,tertiary,no,583,no,no,cellular,30,jan,859,1,235,1,other,no
조지우,010-5263-4236,31,blue-collar,single,secondary,no,-159,no,yes,telephone,21,nov,49,1,-1,0,unknown,no
서지호,010-9823-1358,49,technician,divorced,secondary,no,972,no,no,cellular,16,nov,104,3,175,2,failure,no
이은서,010-8033-1102,43,admin.,married,secondary,no,817,yes,yes,cellular,21,nov,51,1,-1,0,unknown,no
임하은,010-3284-7827,35,management,divorced,tertiary,no,1723,yes,no,cellular,25,jul,862,1,-1,0,unknown,yes
박하윤,010-0297-8234,41,admin.,single,secondary,no,-109,yes,yes,cellular,11,may,1038,1,370,1,failure,yes
권수아,010-2186-2361,37,management,divorced,tertiary,no,481,yes,no,cellular,19,aug,97,6,-1,0,unknown,no
홍하은,010-5635-3702,47,management,married,tertiary,no,0,no,no,cellular,19,aug,213,2,-1,0,unknown,no
최서현,010-3823-7971,46,blue-collar,married,secondary,no,624,yes,no,cellular,16,apr,201,1,-1,0,unknown,no
김서연,010-4438-0604,43,blue-collar,single,primary,no,548,yes,no,unknown,7,may,98,1,-1,0,unknown,no
윤시우,010-5281-7747,46,self-employed,single,primary,no,2032,no,no,cellular,30,jul,424,2,-1,0,unknown,no
임지민,010-0654-3156,56,admin.,divorced,secondary,no,1693,no,no,cellular,26,oct,238,4,442,4,failure,yes
이수아,010-0101-9891,67,retired,divorced,tertiary,no,443,no,no,cellular,18,aug,441,1,-1,0,unknown,yes
정하윤,010-8357-1806,35,management,single,tertiary,no,643,yes,no,unknown,23,may,322,1,-1,0,unknown,no
강채원,010-2755-5387,35,technician,married,secondary,no,410,yes,no,cellular,20,nov,67,2,-1,0,unknown,no
서주원,010-6640-8188,68,retired,married,secondary,no,1146,no,no,cellular,3,mar,153,2,110,3,success,yes
권지호,010-8165-0731,42,unemployed,married,secondary,no,-165,yes,yes,unknown,27,may,179,3,-1,0,unknown,no
강서연,010-6690-4586,44,housemaid,married,secondary,no,192,no,no,unknown,11,jun,232,2,-1,0,unknown,no
윤하은,010-6510-8851,46,blue-collar,married,secondary,no,2603,yes,yes,cellular,11,may,50,3,277,2,failure,no
박예서,010-9430-1408,51,housemaid,divorced,tertiary,no,1613,no,no,cellular,4,aug,870,1,-1,0,unknown,yes
임지호,010-1426-3839,57,technician,married,secondary,no,6362,yes,yes,cellular,18,nov,66,1,-1,0,unknown,no
오민서,010-3124-7329,30,admin.,single,secondary,no,28,no,no,unknown,20,aug,107,1,-1,0,unknown,no
최민서,010-5150-1033,42,blue-collar,married,secondary,no,790,yes,no,unknown,29,may,356,2,-1,0,unknown,no
홍유진,010-7618-0897,33,blue-collar,married,secondary,no,-253,yes,no,cellular,12,may,89,3,-1,0,unknown,no
오지아,010-5922-5827,36,blue-collar,divorced,primary,no,-308,yes,no,cellular,12,may,725,1,-1,0,unknown,yes
김예은,010-1682-7133,46,self-employed,single,secondary,no,526,no,no,cellular,30,apr,523,1,87,2,other,yes
황예서,010-6142-9258,35,management,single,tertiary,no,62,yes,no,cellular,20,apr,213,3,-1,0,unknown,yes
박주원,010-3356-1422,59,unemployed,married,secondary,no,957,no,no,cellular,8,mar,301,1,89,2,success,yes
안민서,010-4636-6679,36,services,married,secondary,no,394,no,no,cellular,5,aug,324,1,-1,0,unknown,yes
한도윤,010-0390-3756,34,blue-collar,married,secondary,no,320,yes,no,cellular,12,nov,413,1,92,3,success,yes
서서현,010-1239-2738,50,management,single,tertiary,no,1200,no,no,cellular,14,aug,904,3,-1,0,unknown,yes
김소율,010-3270-5545,29,management,single,tertiary,no,2955,no,no,cellular,29,apr,226,2,-1,0,unknown,yes
송지호,010-8633-2520,38,management,married,tertiary,no,119,yes,no,unknown,13,may,568,4,-1,0,unknown,yes
김지민,010-3196-0486,39,management,married,secondary,no,0,yes,no,cellular,24,jul,21,21,-1,0,unknown,no
이소율,010-0537-0454,31,management,married,tertiary,no,1032,no,no,cellular,7,jul,284,1,-1,0,unknown,yes
오예서,010-7497-2119,36,management,married,tertiary,no,659,no,no,cellular,28,aug,90,13,-1,0,unknown,no
안민서,010-3711-6550,33,housemaid,married,primary,no,0,no,no,cellular,11,aug,237,2,-1,0,unknown,no
정서현,010-8381-2607,56,blue-collar,married,secondary,no,249,yes,no,unknown,29,may,791,2,-1,0,unknown,yes
신지아,010-9975-3278,58,technician,married,secondary,no,99,no,no,telephone,22,sep,396,2,-1,0,unknown,yes
권시우,010-6666-3463,52,management,divorced,tertiary,no,-803,yes,no,cellular,7,aug,131,3,-1,0,unknown,no
윤예준,010-4044-5298,31,management,married,tertiary,no,0,yes,no,cellular,4,may,108,2,167,1,failure,no
장채원,010-1481-1772,66,retired,married,unknown,no,2540,no,no,telephone,10,dec,441,2,156,1,other,yes
정주원,010-1253-6280,27,student,single,tertiary,no,3733,yes,no,cellular,22,may,198,1,98,6,success,yes
윤하은,010-7980-0284,41,admin.,single,secondary,no,812,no,yes,unknown,11,jun,583,4,-1,0,unknown,yes
정지원,010-8109-1303,31,services,single,secondary,no,629,yes,no,unknown,21,may,369,2,-1,0,unknown,no
한예서,010-8644-4163,30,technician,single,tertiary,no,411,no,no,cellular,22,oct,127,3,149,2,failure,yes
안서준,010-2769-5906,28,technician,single,tertiary,no,375,yes,no,cellular,14,may,43,1,350,1,other,no
장하윤,010-0451-6765,45,student,single,unknown,no,1527,no,no,cellular,8,mar,132,1,-1,0,unknown,yes
임예은,010-2868-4296,42,management,married,tertiary,no,294,no,no,cellular,26,aug,513,1,-1,0,unknown,yes
류서현,010-9399-1916,27,management,single,secondary,no,145,yes,no,cellular,5,may,121,4,89,3,failure,no
송서현,010-5545-3006,36,management,single,tertiary,no,1379,no,no,cellular,25,may,189,1,186,1,failure,yes
오서윤,010-6392-3536,20,student,single,secondary,no,215,no,no,cellular,24,nov,325,1,95,5,success,yes
윤은서,010-3872-7411,43,technician,divorced,secondary,no,0,yes,no,cellular,5,may,150,2,342,2,failure,no
정소율,010-3171-4475,44,blue-collar,married,secondary,no,879,yes,no,cellular,3,apr,383,1,-1,0,unknown,no
오예서,010-6557-5637,43,blue-collar,married,primary,no,377,no,yes,unknown,20,jun,11,5,-1,0,unknown,no
최지원,010-7266-9826,39,blue-collar,married,secondary,no,171,yes,yes,cellular,8,may,153,1,353,1,failure,no
류윤서,010-4698-2929,39,blue-collar,married,primary,no,398,yes,no,cellular,12,may,256,1,-1,0,unknown,no
홍예은,010-7030-5698,26,technician,single,secondary,no,3244,no,no,cellular,2,feb,141,1,5,1,failure,no
신준서,010-1073-5363,26,admin.,single,secondary,no,96,no,no,cellular,11,aug,349,1,70,3,failure,yes
권서윤,010-8620-0198,40,blue-collar,married,primary,no,0,no,no,cellular,24,jul,313,1,-1,0,unknown,no
조민서,010-9097-0687,35,management,single,tertiary,no,68,no,no,unknown,6,jun,1085,1,-1,0,unknown,yes
권서준,010-4588-1984,33,management,single,tertiary,no,0,no,no,unknown,27,may,277,1,-1,0,unknown,no
권하은,010-6513-5299,31,services,married,secondary,no,447,no,no,cellular,19,mar,220,3,-1,0,unknown,yes
정채원,010-6727-6853,60,retired,married,secondary,no,975,no,no,cellular,16,sep,303,1,792,1,failure,yes
서지원,010-1157-3970,29,services,single,secondary,no,192,no,no,cellular,30,jan,327,4,-1,0,unknown,no
정예서,010-8246-7428,25,student,single,tertiary,no,1189,no,no,cellular,3,jun,165,1,-1,0,unknown,yes
정수아,010-0868-2984,78,retired,married,unknown,no,3208,no,no,telephone,20,may,351,3,-1,0,unknown,yes
황도윤,010-7747-3182,33,technician,single,tertiary,no,109,yes,yes,cellular,25,may,601,2,10,7,failure,yes
장지우,010-9881-8417,59,technician,married,primary,no,3163,yes,no,unknown,29,may,240,2,-1,0,unknown,no
이수아,010-8747-9068,60,admin.,married,secondary,no,3735,no,no,cellular,22,mar,248,1,90,10,success,yes
서시우,010-3180-7050,41,technician,married,secondary,no,128,yes,no,cellular,27,aug,100,2,-1,0,unknown,no
김은서,010-5088-5561,43,blue-collar,married,secondary,no,1096,no,yes,unknown,30,may,180,1,-1,0,unknown,no
임서현,010-2431-9868,27,blue-collar,single,secondary,no,535,no,no,cellular,16,nov,183,1,94,1,success,yes
류윤서,010-9655-5337,36,technician,divorced,secondary,no,160,yes,no,unknown,26,may,142,1,-1,0,unknown,no
조하준,010-4222-3724,32,management,married,tertiary,no,134,no,yes,cellular,29,aug,162,2,-1,0,unknown,no
조주원,010-8188-1059,44,technician,married,tertiary,no,1933,no,no,cellular,5,jun,462,1,-1,0,unknown,yes
